財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
9232,2024/03,74121000000,32872000000,30679000000,21952000000,16900000000,10800000000,2240.9,43.5
9260,2024/12,244002000000,84075000000,61553000000,53355000000,9657000000,86789000000,1965.93,34.5
9375,2024/03,547003000000,288380000000,219302000000,207586000000,20132000000,40000000000,273285000,50
9384,2024/12,27396847000,23229551000,20236658000,20648746000,-,-,2278.21,81.2
9386,2024/12,27562454000,19483957000,18470294000,16275240000,80000000,1240872000,1404.98,70.7
9522,2024/12,-,-,-,-,-,-,418.92,-
9637,2024/01,-,-,-,-,-,-,3519.65,-
9675,2024/03,48319000000,10667000000,8771000000,3274000000,4162000000,24808000000,1210.45,22
9749,2024/12,258699000000,141654000000,142703000000,113787000000,40480000000,191000000,2200.69,53.6
9783,2024/03,528391000000,165678000000,153069000000,132113000000,-,151000000,1642.86,30
9873,2024/03,61359000000,31157000000,30935000000,14137000000,-,-,1394.35,50.8
9919,2024/03,151845000000,70793000000,70641000000,17820000000,10616000000,771000000,1240.35,46.6
9977,2024/02,-,-,-,-,-,-,3864.01,-
9995,2024/03,-,-,-,-,-,-,901.34,-
